city,team1,team2,toss_winner,toss_decision,venue,team1_win
Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,0
Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",0
Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,1
Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,0
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Eden Gardens,1
Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,1
Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",0
Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",1
Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",0
Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",1
Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,0
Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",1
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,0
Chandigarh,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,"Punjab Cricket Association Stadium, Mohali",1
Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,0
Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,0
Delhi,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,1
Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Rajiv Gandhi International Stadium, Uppal",0
Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,1
Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",0
Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",1
Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,M Chinnaswamy Stadium,1
Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Dr DY Patil Sports Academy,1
Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Sawai Mansingh Stadium,1
Bangalore,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,0
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"MA Chidambaram Stadium, Chepauk",0
Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Dr DY Patil Sports Academy,1
Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,0
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Eden Gardens,1
Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Sawai Mansingh Stadium,1
Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings,field,"MA Chidambaram Stadium, Chepauk",1
Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",0
Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Sawai Mansingh Stadium,1
Chandigarh,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Punjab Cricket Association Stadium, Mohali",1
Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Eden Gardens,1
Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Wankhede Stadium,1
Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Feroz Shah Kotla,1
Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,1
Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Feroz Shah Kotla,0
Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,1
Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",0
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,0
Bangalore,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,M Chinnaswamy Stadium,0
Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,0
Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Wankhede Stadium,0
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",0
Chandigarh,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",1
Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Feroz Shah Kotla,1
Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",0
Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",0
Kolkata,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Eden Gardens,1
Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,1
Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",0
Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,0
Chandigarh,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",1
Mumbai,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Wankhede Stadium,0
Mumbai,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Wankhede Stadium,1
Mumbai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy,0
Cape Town,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Newlands,0
Cape Town,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Newlands,1
Cape Town,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Newlands,1
Cape Town,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Newlands,1
Port Elizabeth,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,St George's Park,0
Durban,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead,0
Cape Town,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Newlands,0
Durban,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Kingsmead,0
Cape Town,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Newlands,0
Durban,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Kingsmead,0
Durban,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Kingsmead,1
Port Elizabeth,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,St George's Park,0
Cape Town,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Newlands,1
Durban,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kingsmead,0
Port Elizabeth,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,St George's Park,0
Centurion,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,SuperSport Park,0
Durban,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,1
Durban,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Kingsmead,1
Centurion,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,SuperSport Park,0
